arcd,prvn,cityabbr,pst,name,offcd,id,committee,rank,year,wk_b,wk_e
130100,河北省,石家庄,市委书记,赵金铎,17568,130111993,省委常委,副省/部级,1996,1993-04-01,1997-12-01
654300,新疆维吾尔自治区,阿勒泰,市长,哈丹·卡宾,19251,654302017,非党委常委,正市/厅/局级,2020,2017-03-01,2021-06-01
130100,河北省,石家庄,市委书记,李海峰,11298,130111988,省委常委,副省/部级,1988,1988-01-01,1993-01-01
430500,湖南省,邵阳,市长,黄天锡,1842,430502003,非党委常委,正市/厅/局级,2004,2002-10-01,2007-04-01
430500,湖南省,邵阳,市长,郭光文,1336,430502007,非党委常委,正市/厅/局级,2008,2007-04-01,2012-02-01
430500,湖南省,邵阳,市委书记,龚文密,1280,430502012,非党委常委,正市/厅/局级,2020,2016-04-01,2021-08-01
430500,湖南省,邵阳,市长,彭茂吾,13351,430501989,非党委常委,正市/厅/局级,1992,1989-05-01,1994-12-01
430500,湖南省,邵阳,市长,孔令志,11034,430301992,非党委常委,正市/厅/局级,1996,1995-01-01,2000-05-01
130100,河北省,石家庄,市委书记,邢国辉,6389,130712014,省委常委,副省/部级,2020,2016-11-01,2021-04-01
130100,河北省,石家庄,市长,沈志峰,13747,130101991,非党委常委,副省/部级,1992,1990-08-01,1997-12-01
130100,河北省,石家庄,市委书记,孙瑞彬,5592,130902005,省委常委,副省/部级,2012,2010-08-01,2016-11-01
430500,湖南省,邵阳,市长,刘事青,19126,430502016,非党委常委,正市/厅/局级,2020,2016-04-01,2021-06-01
430600,湖南省,岳阳,市委书记,谢培清,15729,430611991,非党委常委,正市/厅/局级,1992,1991-03-01,1993-08-01
430600,湖南省,岳阳,市委书记,阳宝华,6647,430901994,非党委常委,正市/厅/局级,1996,1995-04-01,1998-01-01
430600,湖南省,岳阳,市委书记,于来山,16624,430612000,非党委常委,正市/厅/局级,2000,2000-01-01,2004-04-01
430500,湖南省,邵阳,市委书记,周本顺,5235,430511996,非党委常委,正市/厅/局级,1996,1995-08-01,2000-11-01
430600,湖南省,岳阳,市委书记,易炼红,6995,430612004,非党委常委,正市/厅/局级,2008,2004-05-01,2011-12-01
